z1_cave_depth_pct,z1_cave_symmetry,z1_c2_vs_c1,z1_neckline_height,z1_pattern_length,z1_decline_magnitude,z1_decline_bars,z1_higher_low,z4_spring_depth,z4_spring_present,z2_c2_vs_fib382,z2_c2_vs_fib500,z2_c2_vs_fib618,z2_fib_alignment,z3_rvol_c2,z3_volume_trend,z3_c2_vol_vs_c1,z3_vol_declining,z3_obv_slope,z3_rsi_c2,z3_rsi_c1,z3_rsi_divergence,z3_rsi_oversold,z3_macd_c2,z3_macd_rising,z4_atr_c2,z4_atr_pct,z4_atr_compression,z4_nr4,z4_nr7,z4_bb_width,z5_rs_rank_c2,z5_rs_rank_c1,z5_rs_improving,z5_price_vs_sma50,z5_price_vs_sma200,z5_sma50_slope,z6_c2_body_ratio,z6_c2_lower_wick,z6_c2_is_bullish,z6_pattern_bars,z6_pattern_too_short,z6_pattern_too_long,ticker,c1_date,c1_idx,c2_idx,label,outcome,bars_to_breakout,max_gain,max_loss
0.08063,0.953816,-0.046184,0.087702,55.0,0.128378,60.0,1.0,0.046185,1.0,1.144606,1.026606,0.908606,0.908606,0.671935,0.40281,0.753911,1.0,0.001495,25.816258,21.319164,4.497094,1.0,-0.825993,0.0,0.878401,0.029118,1.514279,1.0,1.0,0.168348,50.0,50.0,0.0,-0.087329,-0.125258,-0.00608,0.218187,0.472725,0.0,55.0,0.0,0.0,ADM,2019-05-29,2365,2420,0,cave1_violated,-1,0.0345,0.0
0.205665,0.885935,0.114065,0.258914,53.0,0.257948,60.0,1.0,-0.0,0.0,0.177449,0.059449,0.058551,0.058551,0.811106,-0.258482,1.10146,0.0,-0.040952,31.728452,39.047711,-7.319259,1.0,-1.119578,0.0,2.328618,0.032258,1.111233,1.0,0.0,0.147809,50.0,50.0,0.0,-0.050588,-0.006372,0.022438,0.4,0.124998,0.0,53.0,0.0,0.0,ADM,2022-07-18,3155,3208,1,breakout,17,0.1329,0.0
0.090293,0.945004,-0.054996,0.099256,39.0,0.144124,60.0,1.0,0.054995,1.0,1.172081,1.054081,0.936081,0.936081,0.759108,0.039061,0.30919,1.0,-0.004525,30.044493,21.203672,8.840821,1.0,-1.645927,0.0,3.413727,0.029579,1.161276,0.0,0.0,0.09692,50.0,50.0,0.0,-0.070232,-0.131286,-0.015673,0.78901,0.076924,0.0,39.0,0.0,0.0,ADP,2020-07-29,2660,2699,0,cave1_violated,-1,0.0162,0.0
0.194673,0.917418,0.082582,0.241732,72.0,0.142489,60.0,1.0,0.0,0.0,0.276375,0.158375,0.040375,0.040375,1.031583,-0.00971,0.501953,1.0,-0.066914,27.578592,21.978002,5.60059,1.0,-0.968816,0.0,1.559115,0.028867,1.134339,0.0,0.0,0.100445,50.0,50.0,0.0,-0.08287,-0.02038,-0.00769,0.538462,0.083915,0.0,72.0,0.0,0.0,ADSK,2014-10-16,1205,1277,1,breakout,14,0.1548,0.0
0.082022,0.97726,-0.02274,0.089351,45.0,0.179705,60.0,1.0,0.02274,1.0,0.872503,0.754503,0.636503,0.636503,1.90384,0.090549,0.930577,1.0,-0.078065,30.104131,29.456479,0.647653,1.0,-1.338554,0.0,4.14176,0.029654,0.979754,0.0,0.0,0.081202,50.0,50.0,0.0,-0.054633,-0.11223,-0.006095,0.778175,0.137746,0.0,45.0,0.0,0.0,ADSK,2019-08-15,2420,2465,1,breakout,17,0.1317,0.0
0.157037,0.910456,-0.089544,0.186291,35.0,0.281969,60.0,1.0,0.089544,1.0,1.098666,0.980666,0.862666,0.862666,1.129098,-0.37883,1.097403,0.0,-0.069786,24.134948,26.664573,-2.529625,1.0,-5.488539,0.0,9.417081,0.057313,0.905738,0.0,0.0,0.311647,50.0,50.0,0.0,-0.151997,-0.333658,-0.025642,0.7981,0.131829,0.0,35.0,0.0,0.0,ADSK,2022-04-27,3100,3135,0,cave1_violated,-1,0.0211,0.0
0.125231,0.963449,0.036551,0.14316,36.0,0.155181,60.0,1.0,0.008828,0.0,0.362681,0.244681,0.126681,0.126681,0.709928,0.079392,1.32329,0.0,0.00195,36.994836,47.680744,-10.685909,0.0,1.907533,0.0,5.902094,0.029396,1.023455,0.0,0.0,0.126469,50.0,50.0,0.0,0.005648,-0.00424,0.009289,0.075,0.2375,0.0,36.0,0.0,0.0,ADSK,2023-05-03,3355,3391,0,timeout,-1,0.0911,0.0
0.045211,0.960123,-0.039877,0.047352,63.0,0.135766,60.0,1.0,0.039875,1.0,1.460138,1.342138,1.224138,1.224138,0.774607,-0.226274,0.636553,1.0,-0.065543,27.077268,36.868508,-9.79124,1.0,-0.37329,0.0,0.470239,0.013075,0.892118,0.0,0.0,0.068153,50.0,50.0,0.0,-0.046308,-0.063945,-0.006311,0.620689,0.0,0.0,63.0,0.0,0.0,AEP,2015-03-26,1315,1378,0,cave1_violated,-1,0.0055,0.0
0.057753,0.975368,-0.024632,0.061293,31.0,0.142656,60.0,1.0,0.047541,1.0,1.019869,0.901869,0.783869,0.783869,0.937685,0.116492,1.263287,0.0,-0.060816,35.452919,25.062207,10.390713,0.0,-0.056447,0.0,0.184987,0.023116,0.874521,0.0,0.0,0.134151,50.0,50.0,0.0,-0.046423,-0.132757,-0.018093,0.545453,0.409091,0.0,31.0,0.0,0.0,AES,2015-01-28,1275,1306,1,breakout,15,0.1183,0.0
0.081832,0.983102,-0.016898,0.089125,24.0,0.13122,60.0,1.0,0.016895,1.0,0.807594,0.689594,0.571594,0.571594,1.797181,0.57649,2.650433,0.0,-0.204923,31.458635,20.106232,11.352403,1.0,-0.083997,0.0,0.276783,0.034448,1.466603,1.0,1.0,0.107896,50.0,50.0,0.0,-0.074021,-0.012864,-0.002859,0.176475,0.647057,1.0,24.0,0.0,0.0,AES,2016-10-11,1705,1729,0,cave1_violated,-1,0.0642,0.0169
